filename,group,aspect_ratio,image_size,theme_slot,alt_text,prompt,exclusions
"species-lions-mane-hero.jpg","species","16:9","4K","metaobject lions-mane.hero_image","Macro photograph of a Lion's Mane fruit body, its white spines hanging from dead hardwood.","Photograph, in ultra-detailed cinematic macro, a Lion's Mane fungus, Hericium erinaceus, a single rounded white cushion with long cascading icicle-like spines hanging downward, with no cap, no gills and no stem, growing from a wound on a dead hardwood trunk in Southern Cape Afromontane forest. Render the morphology with scientific accuracy. Shoot it as if on a medium-format camera with a 100mm macro lens at f/5.6, lit by a single soft key at 45 degrees with a cool rim light for separation, against a deep charcoal near-black background of #0B0E0C, with warm amber highlights, fine spore dust suspended in the light beam, damp organic texture, and extremely sharp focus on the specimen falling off naturally into shadow. The mood is a premium editorial botanical campaign: muted natural colour, matte finish, no gloss.","Photographic realism only - not an illustration, 3D render or CGI. Keep the palette in muted natural greens, ambers and near-blacks with no purple, magenta, rainbow or neon cast, and no teal-and-orange grade. The frame must contain no text, lettering, watermark, signature, logo, packaging or label, no borders, frames or vignette, and no interface elements. Nothing medical: no pills, capsules, syringes, medical crosses, lab coats, clinical laboratory or hospital settings, stethoscopes, anatomical diagrams or glowing organs. No people, faces or hands. Anatomy must be correct with no duplicated or deformed specimens, no extra stems and no impossible growth. Avoid a generic stock-photograph look."
"species-lions-mane-macro.jpg","species","4:5","2K","metaobject lions-mane.macro_editorial_image","Macro photograph of a Lion's Mane fruit body, its white spines hanging from dead hardwood.","Photograph, in ultra-detailed cinematic macro, extreme close-up of the hanging white spines of Hericium erinaceus, individual teeth resolved, faint translucency at the tips, dew beading. Render the morphology with scientific accuracy. Shoot it as if on a medium-format camera with a 100mm macro lens at f/5.6, lit by a single soft key at 45 degrees with a cool rim light for separation, against a deep charcoal near-black background of #0B0E0C, with warm amber highlights, fine spore dust suspended in the light beam, damp organic texture, and extremely sharp focus on the specimen falling off naturally into shadow. The mood is a premium editorial botanical campaign: muted natural colour, matte finish, no gloss.","Photographic realism only - not an illustration, 3D render or CGI. Keep the palette in muted natural greens, ambers and near-blacks with no purple, magenta, rainbow or neon cast, and no teal-and-orange grade. The frame must contain no text, lettering, watermark, signature, logo, packaging or label, no borders, frames or vignette, and no interface elements. Nothing medical: no pills, capsules, syringes, medical crosses, lab coats, clinical laboratory or hospital settings, stethoscopes, anatomical diagrams or glowing organs. No people, faces or hands. Anatomy must be correct with no duplicated or deformed specimens, no extra stems and no impossible growth. Avoid a generic stock-photograph look."
"species-lions-mane-og.jpg","species","3:2","2K","metaobject lions-mane.og_image (crop to 1200x630)","Macro photograph of a Lion's Mane fruit body, its white spines hanging from dead hardwood.","Photograph, in ultra-detailed cinematic macro, a Lion's Mane fungus, Hericium erinaceus, a single rounded white cushion with long cascading icicle-like spines hanging downward, with no cap, no gills and no stem, growing from a wound on a dead hardwood trunk in Southern Cape Afromontane forest. Render the morphology with scientific accuracy. Shoot it as if on a medium-format camera with a 100mm macro lens at f/5.6, lit by a single soft key at 45 degrees with a cool rim light for separation, against a deep charcoal near-black background of #0B0E0C, with warm amber highlights, fine spore dust suspended in the light beam, damp organic texture, and extremely sharp focus on the specimen falling off naturally into shadow. The mood is a premium editorial botanical campaign: muted natural colour, matte finish, no gloss. Compose wide with generous negative space on one third of the frame for an overlaid wordmark.","Photographic realism only - not an illustration, 3D render or CGI. Keep the palette in muted natural greens, ambers and near-blacks with no purple, magenta, rainbow or neon cast, and no teal-and-orange grade. The frame must contain no text, lettering, watermark, signature, logo, packaging or label, no borders, frames or vignette, and no interface elements. Nothing medical: no pills, capsules, syringes, medical crosses, lab coats, clinical laboratory or hospital settings, stethoscopes, anatomical diagrams or glowing organs. No people, faces or hands. Anatomy must be correct with no duplicated or deformed specimens, no extra stems and no impossible growth. Avoid a generic stock-photograph look."
"species-reishi-hero.jpg","species","16:9","4K","metaobject reishi.hero_image","Varnished red-brown reishi bracket growing on a dead hardwood stump.","Photograph, in ultra-detailed cinematic macro, a Reishi bracket fungus, Ganoderma lucidum, a kidney-shaped shelf with a lacquered varnished red-brown cap, concentric growth zoning, a pale cream growing margin, and a pore surface underneath with no gills, on a dead hardwood stump. Render the morphology with scientific accuracy. Shoot it as if on a medium-format camera with a 100mm macro lens at f/5.6, lit by a single soft key at 45 degrees with a cool rim light for separation, against a deep charcoal near-black background of #0B0E0C, with warm amber highlights, fine spore dust suspended in the light beam, damp organic texture, and extremely sharp focus on the specimen falling off naturally into shadow. The mood is a premium editorial botanical campaign: muted natural colour, matte finish, no gloss.","Photographic realism only - not an illustration, 3D render or CGI. Keep the palette in muted natural greens, ambers and near-blacks with no purple, magenta, rainbow or neon cast, and no teal-and-orange grade. The frame must contain no text, lettering, watermark, signature, logo, packaging or label, no borders, frames or vignette, and no interface elements. Nothing medical: no pills, capsules, syringes, medical crosses, lab coats, clinical laboratory or hospital settings, stethoscopes, anatomical diagrams or glowing organs. No people, faces or hands. Anatomy must be correct with no duplicated or deformed specimens, no extra stems and no impossible growth. Avoid a generic stock-photograph look."
"species-reishi-macro.jpg","species","4:5","2K","metaobject reishi.macro_editorial_image","Varnished red-brown reishi bracket growing on a dead hardwood stump.","Photograph, in ultra-detailed cinematic macro, extreme close-up of the varnished surface of a Ganoderma lucidum cap, concentric red-brown lacquer bands catching the key light, white growing margin at the frame edge. Render the morphology with scientific accuracy. Shoot it as if on a medium-format camera with a 100mm macro lens at f/5.6, lit by a single soft key at 45 degrees with a cool rim light for separation, against a deep charcoal near-black background of #0B0E0C, with warm amber highlights, fine spore dust suspended in the light beam, damp organic texture, and extremely sharp focus on the specimen falling off naturally into shadow. The mood is a premium editorial botanical campaign: muted natural colour, matte finish, no gloss.","Photographic realism only - not an illustration, 3D render or CGI. Keep the palette in muted natural greens, ambers and near-blacks with no purple, magenta, rainbow or neon cast, and no teal-and-orange grade. The frame must contain no text, lettering, watermark, signature, logo, packaging or label, no borders, frames or vignette, and no interface elements. Nothing medical: no pills, capsules, syringes, medical crosses, lab coats, clinical laboratory or hospital settings, stethoscopes, anatomical diagrams or glowing organs. No people, faces or hands. Anatomy must be correct with no duplicated or deformed specimens, no extra stems and no impossible growth. Avoid a generic stock-photograph look."
"species-reishi-og.jpg","species","3:2","2K","metaobject reishi.og_image (crop to 1200x630)","Varnished red-brown reishi bracket growing on a dead hardwood stump.","Photograph, in ultra-detailed cinematic macro, a Reishi bracket fungus, Ganoderma lucidum, a kidney-shaped shelf with a lacquered varnished red-brown cap, concentric growth zoning, a pale cream growing margin, and a pore surface underneath with no gills, on a dead hardwood stump. Render the morphology with scientific accuracy. Shoot it as if on a medium-format camera with a 100mm macro lens at f/5.6, lit by a single soft key at 45 degrees with a cool rim light for separation, against a deep charcoal near-black background of #0B0E0C, with warm amber highlights, fine spore dust suspended in the light beam, damp organic texture, and extremely sharp focus on the specimen falling off naturally into shadow. The mood is a premium editorial botanical campaign: muted natural colour, matte finish, no gloss. Compose wide with generous negative space on one third of the frame for an overlaid wordmark.","Photographic realism only - not an illustration, 3D render or CGI. Keep the palette in muted natural greens, ambers and near-blacks with no purple, magenta, rainbow or neon cast, and no teal-and-orange grade. The frame must contain no text, lettering, watermark, signature, logo, packaging or label, no borders, frames or vignette, and no interface elements. Nothing medical: no pills, capsules, syringes, medical crosses, lab coats, clinical laboratory or hospital settings, stethoscopes, anatomical diagrams or glowing organs. No people, faces or hands. Anatomy must be correct with no duplicated or deformed specimens, no extra stems and no impossible growth. Avoid a generic stock-photograph look."
"species-chaga-hero.jpg","species","16:9","4K","metaobject chaga.hero_image","Black cracked chaga conk growing on the trunk of a living birch.","Photograph, in ultra-detailed cinematic macro, a Chaga sterile conk, Inonotus obliquus, a black cracked charcoal-like mass erupting from the trunk of a living birch tree, with rusty orange-brown interior visible in the fissures - not a mushroom shape and not on the ground. Render the morphology with scientific accuracy. Shoot it as if on a medium-format camera with a 100mm macro lens at f/5.6, lit by a single soft key at 45 degrees with a cool rim light for separation, against a deep charcoal near-black background of #0B0E0C, with warm amber highlights, fine spore dust suspended in the light beam, damp organic texture, and extremely sharp focus on the specimen falling off naturally into shadow. The mood is a premium editorial botanical campaign: muted natural colour, matte finish, no gloss.","Photographic realism only - not an illustration, 3D render or CGI. Keep the palette in muted natural greens, ambers and near-blacks with no purple, magenta, rainbow or neon cast, and no teal-and-orange grade. The frame must contain no text, lettering, watermark, signature, logo, packaging or label, no borders, frames or vignette, and no interface elements. Nothing medical: no pills, capsules, syringes, medical crosses, lab coats, clinical laboratory or hospital settings, stethoscopes, anatomical diagrams or glowing organs. No people, faces or hands. Anatomy must be correct with no duplicated or deformed specimens, no extra stems and no impossible growth. Avoid a generic stock-photograph look."
"species-chaga-macro.jpg","species","4:5","2K","metaobject chaga.macro_editorial_image","Black cracked chaga conk growing on the trunk of a living birch.","Photograph, in ultra-detailed cinematic macro, extreme close-up of the cracked black exterior and burnt-orange cork interior of a chaga conk, deep fissures, birch bark visible at the frame edge. Render the morphology with scientific accuracy. Shoot it as if on a medium-format camera with a 100mm macro lens at f/5.6, lit by a single soft key at 45 degrees with a cool rim light for separation, against a deep charcoal near-black background of #0B0E0C, with warm amber highlights, fine spore dust suspended in the light beam, damp organic texture, and extremely sharp focus on the specimen falling off naturally into shadow. The mood is a premium editorial botanical campaign: muted natural colour, matte finish, no gloss.","Photographic realism only - not an illustration, 3D render or CGI. Keep the palette in muted natural greens, ambers and near-blacks with no purple, magenta, rainbow or neon cast, and no teal-and-orange grade. The frame must contain no text, lettering, watermark, signature, logo, packaging or label, no borders, frames or vignette, and no interface elements. Nothing medical: no pills, capsules, syringes, medical crosses, lab coats, clinical laboratory or hospital settings, stethoscopes, anatomical diagrams or glowing organs. No people, faces or hands. Anatomy must be correct with no duplicated or deformed specimens, no extra stems and no impossible growth. Avoid a generic stock-photograph look."
"species-chaga-og.jpg","species","3:2","2K","metaobject chaga.og_image (crop to 1200x630)","Black cracked chaga conk growing on the trunk of a living birch.","Photograph, in ultra-detailed cinematic macro, a Chaga sterile conk, Inonotus obliquus, a black cracked charcoal-like mass erupting from the trunk of a living birch tree, with rusty orange-brown interior visible in the fissures - not a mushroom shape and not on the ground. Render the morphology with scientific accuracy. Shoot it as if on a medium-format camera with a 100mm macro lens at f/5.6, lit by a single soft key at 45 degrees with a cool rim light for separation, against a deep charcoal near-black background of #0B0E0C, with warm amber highlights, fine spore dust suspended in the light beam, damp organic texture, and extremely sharp focus on the specimen falling off naturally into shadow. The mood is a premium editorial botanical campaign: muted natural colour, matte finish, no gloss. Compose wide with generous negative space on one third of the frame for an overlaid wordmark.","Photographic realism only - not an illustration, 3D render or CGI. Keep the palette in muted natural greens, ambers and near-blacks with no purple, magenta, rainbow or neon cast, and no teal-and-orange grade. The frame must contain no text, lettering, watermark, signature, logo, packaging or label, no borders, frames or vignette, and no interface elements. Nothing medical: no pills, capsules, syringes, medical crosses, lab coats, clinical laboratory or hospital settings, stethoscopes, anatomical diagrams or glowing organs. No people, faces or hands. Anatomy must be correct with no duplicated or deformed specimens, no extra stems and no impossible growth. Avoid a generic stock-photograph look."
"species-cordyceps-hero.jpg","species","16:9","4K","metaobject cordyceps.hero_image","Cluster of orange Cordyceps militaris clubs emerging from substrate.","Photograph, in ultra-detailed cinematic macro, Cordyceps militaris, a cluster of bright orange club-shaped fruiting bodies with finely pimpled surfaces emerging from substrate, with no insects and nothing parasitising a visible host. Render the morphology with scientific accuracy. Shoot it as if on a medium-format camera with a 100mm macro lens at f/5.6, lit by a single soft key at 45 degrees with a cool rim light for separation, against a deep charcoal near-black background of #0B0E0C, with warm amber highlights, fine spore dust suspended in the light beam, damp organic texture, and extremely sharp focus on the specimen falling off naturally into shadow. The mood is a premium editorial botanical campaign: muted natural colour, matte finish, no gloss.","Photographic realism only - not an illustration, 3D render or CGI. Keep the palette in muted natural greens, ambers and near-blacks with no purple, magenta, rainbow or neon cast, and no teal-and-orange grade. The frame must contain no text, lettering, watermark, signature, logo, packaging or label, no borders, frames or vignette, and no interface elements. Nothing medical: no pills, capsules, syringes, medical crosses, lab coats, clinical laboratory or hospital settings, stethoscopes, anatomical diagrams or glowing organs. No people, faces or hands. Anatomy must be correct with no duplicated or deformed specimens, no extra stems and no impossible growth. Avoid a generic stock-photograph look."
